zone,side,2022,2023,2024,2025,TOTAL
LONGIL,neg,-169.36000000000007,3114.51,-50.1,12140.37,15035.420000000002
CAPITL,pos,-5179.460000000001,541.66,3361.33,9259.61,7983.139999999999
NYC,neg,-408.19,2398.9700000000003,-23.769999999999996,4877.49,6844.5
NORTH,pos,2553.96,95.28999999999999,-276.4500000000001,455.0899999999999,2827.8899999999994
MHKVL,pos,2789.41,-957.4499999999998,1803.44,-1268.1499999999999,2367.25
GENESE,pos,2352.46,-1250.99,37.310000000000045,501.6099999999999,1640.3899999999999
CENTRL,pos,2178.76,-1046.48,1701.8300000000002,-1207.4199999999998,1626.6900000000007
DUNWOD,neg,-851.55,2000.1100000000001,-57.099999999999994,472.37,1563.8300000000004
MILLWD,neg,-798.2099999999999,1866.33,-38.519999999999996,429.9100000000001,1459.51
WEST,pos,3729.72,-1160.0000000000002,371.3599999999998,-1637.0799999999997,1303.9999999999993
HUDVL,neg,-783.6700000000001,1720.86,-27.19000000000001,370.37999999999994,1280.3799999999997
DUNWOD,pos,846.0,52.89999999999998,5.670000000000016,263.95,1168.52
NYC,pos,712.44,45.99,59.960000000000015,155.71,974.1000000000001
LONGIL,pos,629.8,83.55999999999999,35.28999999999999,202.14000000000004,950.79
MILLWD,pos,706.66,68.91,-30.789999999999992,192.28,937.06
HUDVL,pos,-2463.45,21.820000000000135,3783.0,-1126.1399999999999,215.23000000000047
CAPITL,neg,179.71999999999997,-18.22000000000001,-27.709999999999997,-794.9200000000001,-661.1300000000001
CENTRL,neg,-576.9300000000001,-12.530000000000005,-61.77000000000001,-243.16,-894.39
